Id,Category
1061,0
1062,0
1063,2
1064,3
1065,2
1066,1
1067,2
1068,0
1069,2
1070,3
1071,0
1072,1
1073,1
1074,2
1075,3
1076,0
1077,3
1078,3
1079,0
1080,1
1081,2
1082,0
1083,0
1084,2
1085,1
1086,2
1087,1
1088,1
1089,3
1090,1
1091,1
1092,1
1093,2
1094,2
1095,2
1096,3
1097,0
1098,0
1099,2
1100,3
1101,3
1102,2
1103,2
1104,3
1105,1
1106,1
1107,3
1108,2
1109,0
1110,2
1111,1
1112,1
1113,2
1114,2
1115,3
1116,3
1117,1
1118,1
1119,2
1120,3
1121,3
1122,1
1123,1
1124,3
1125,2
1126,0
1127,1
1128,3
1129,1
1130,2
1131,1
1132,0
1133,1
1134,2
1135,2
1136,1
1137,1
1138,3
1139,2
1140,3
1141,1
1142,0
1143,1
1144,3
1145,1
1146,2
1147,2
1148,0
1149,2
1150,0
1151,0
1152,1
1153,3
1154,3
1155,1
1156,3
1157,1
1158,3
1159,1
1160,3
1161,3
1162,3
1163,3
1164,3
1165,0
1166,3
1167,1
1168,1
1169,1
1170,0
1171,1
1172,3
1173,3
1174,3
1175,1
1176,1
1177,0
1178,3
1179,1
1180,1
1181,1
1182,0
1183,1
1184,2
1185,0
1186,3
1187,1
1188,0
1189,3
1190,0
1191,3
1192,1
1193,0
1194,2
1195,2
1196,1
1197,3
1198,1
1199,1
